 ,English,Français,简体中文,繁體中文,日本語,Русский,Українська,Deutsch,Español,Português (Brasil),한국어
PerkEffectInformations_MagicScepterUniquePerk,"Damage threshold: {8}
{9}
Damage threshold: {10}
{11} <style=PerkDamage>Perk Damage</style>.","Seuil de dégât : {8}
{9}
Seuil de dégât : {10}
{11} <style=PerkDamage>dégât de talent</style>.","伤害阈值：{8}点
{9}
伤害阈值：{10}
{11}<style=PerkDamage>天赋伤害</style>。","傷害觸發條件：{8}
{9}
傷害觸發條件：{10}
<style=PerkDamage>天賦傷害</style>{11}。","ダメージ数: {8}
{9}
ダメージ数: {10}
{11} <style=PerkDamage>パークダメージ</style>。","Порог по урону: {8};
{9}.
Порог по урону: {10};
{11} к <style=PerkDamage>особому урону</style>.","Порогове значення шкоди: {8}
{9}
Порогове значення шкоди: {10}
{11} <style=PerkDamage>шкоди від риси</style>.","Schwellenwert für Schaden: {8}
{9}
Schwellenwert für Schaden: {10}
{11} <style=PerkDamage>Vorteilsschaden</style>.","Umbral de daño: {8}
{9}
Umbral de daño: {10}
{11} <style=PerkDamage>Daño de beneficio</style>.","Limite de dano: {8}
{9}
Limite de dano: {10}
{11} de <style=PerkDamage>Dano de Vantagem</style>.","피해 기준: {8}
{9}
피해 기준: {10}
{11} <style=PerkDamage>특전 피해</style>"
ResearchDescription_HavenRunenbergResearch,"Grants the perk {0} to all Heroes.
Adds <style=keyword>Dwarf</style> <style=perk>perks</style> into the <style=keyword>miscellaneous perk tree</style> (except that one) and <style=keyword>rerolls</style> all miscellaneous <style=perk>perk</style> trees.
","Accorde le talent {0} a tous les Héros.
Ajoute les <style=perk>talents</style> des <style=keyword>Nains</style> dans la <style=keyword>collection de talent Divers</style> (sauf celui-ci) et <style=keyword>relance</style> toutes les collections de talent Divers.
","授予所有英雄天赋{0}。
添加<style=keyword>矮人</style><style=perk>天赋</style>至<style=keyword>混杂天赋树</style>（该天赋除外），并<style=keyword>刷新</style>所有混杂<style=perk>天赋</style>树。
","授予所有英雄天賦{0}。
<style=keyword>「其他」天賦樹</style>新增<style=keyword>矮人</style><style=perk>天賦</style>（該天賦除外），同時<style=keyword>刷新</style>所有「其他」類別的<style=perk>天賦</style>樹。
","全ヒーローにパーク{0}を付与する。
<style=keyword>雑多なパークツリー</style>に<style=keyword>ドワーフ</style>の<style=perk>パーク</style>が追加され（このパークを除く）、すべての雑多な<style=perk>パーク</style>ツリーを<style=keyword>リロール</style>する。
","Даёт всем героям особую черту {0}.
Добавляет в <style=keyword>дерево различных особых черт</style> <style=perk>особые черты</style> <style=keyword>гномов</style> (кроме этой) и делает <style=keyword>переброс</style> всех деревьев различных <style=perk>особых черт</style>.
","Надає всім героям рису {0}.
Додає <style=perk>риси</style> <style=keyword>гномів</style> до <style=keyword>дерева різноманітних рис</style> (окрім цієї) й <style=keyword>оновлює</style> всі різноманітні дерева <style=perk>рис</style>.
","Gewährt allen Helden den Vorteil {0}.
Fügt dem <style=keyword>Sonstiges-Vorteilsbaum</style> <style=keyword>Zwerg</style>-<style=perk>Vorteile</style> hinzu (außer diesem) und <style=keyword>würfelt</style> alle sonstigen <style=perk>Vorteilsbäume</style> neu.
","Otorga el beneficio {0} a todos los héroes.
Añade <style=perk>beneficios</style> de <style=keyword>enano</style> al <style=keyword>árbol de beneficios variado</style> (excepto este) y modifica la <style=keyword>selección</style> de todos los árboles de <style=perk>beneficios</style> variados.
","Concede a vantagem {0} a todos os heróis.
Adiciona <style=perk>vantagens</style> de <style=keyword>Anão</style> à <style=keyword>árvore de vantagens variadas</style> (exceto esta) e <style=keyword>troca</style> todas as árvores de <style=perk>vantagens</style> variadas.
","모든 영웅에게 특전 {0}을(를) 부여합니다.
<style=keyword>드워프</style> <style=perk>특전</style>을 <style=keyword>기타 특전 트리</style>에 추가하고(해당 특전 제외), 모든 기타 <style=perk>특전</style> 트리를 <style=keyword>재굴림</style>합니다.
"
ResearchDescription_HavenAmberwaldResearch,"Grants the perk {0} to all Heroes.
Adds <style=keyword>Elf</style> <style=perk>perks</style> into the <style=keyword>miscellaneous perk tree</style> and <style=keyword>rerolls</style> all miscellaneous <style=perk>perk</style> trees.
","Accorde le talent {0} a tous les Héros.
Ajoute les <style=perk>talents</style> des <style=keyword>Elfs</style> dans la <style=keyword>collection de talent Divers</style> et <style=keyword>relance</style> toutes les collections de talent Divers.
","授予所有英雄天赋{0}。
添加<style=keyword>精灵</style><style=perk>天赋</style>至<style=keyword>混杂天赋树</style>，并<style=keyword>刷新</style>所有混杂<style=perk>天赋</style>树。
","授予所有英雄天賦{0}。
<style=keyword>「其他」天賦樹</style>新增<style=keyword>精靈</style><style=perk>天賦</style>，同時<style=keyword>刷新</style>所有「其他」類別的<style=perk>天賦</style>樹。
","全ヒーローにパーク{0}を付与する。
<style=keyword>雑多なパークツリー</style>に<style=keyword>エルフ</style>の<style=perk>パーク</style>が追加され、すべての雑多な<style=perk>パーク</style>ツリーを<style=keyword>リロール</style>する。
","Даёт всем героям особую черту {0}.
Добавляет в <style=keyword>дерево различных особых черт</style> <style=perk>особые черты</style> <style=keyword>эльфов</style> и делает <style=keyword>переброс</style> всех деревьев различных <style=perk>особых черт</style>.
","Надає всім героям рису {0}.
Додає <style=perk>риси</style> <style=keyword>ельфів</style> до <style=keyword>дерева різноманітних рис</style> й <style=keyword>оновлює</style> всі різноманітні дерева <style=perk>рис</style>.
","Gewährt allen Helden den Vorteil {0}.
Fügt dem <style=keyword>Sonstiges-Vorteilsbaum</style> <style=keyword>Elfen</style>-<style=perk>Vorteile</style> hinzu und <style=keyword>würfelt</style> alle sonstigen <style=perk>Vorteilsbäume</style> neu.
","Otorga el beneficio {0} a todos los héroes.
Añade <style=perk>beneficios</style> de <style=keyword>elfo</style> al <style=keyword>árbol de beneficios variado</style> y modifica la <style=keyword>selección</style> de todos los árboles de <style=perk>beneficios</style> variados.
","Concede a vantagem {0} a todos os heróis.
Adiciona <style=perk>vantagens</style> de <style=keyword>Elfo</style> à <style=keyword>árvore de vantagens variadas</style> e <style=keyword>troca</style> todas as árvores de <style=perk>vantagens</style> variadas.
","모든 영웅에게 특전 {0}을(를) 부여합니다.
<style=keyword>엘프</style> <style=perk>특전</style>을 <style=keyword>기타 특전 트리</style>에 추가하고, 모든 기타 <style=perk>특전</style> 트리를 <style=keyword>재굴림</style>합니다.
"
PerkName_HeroesBlockPhysDamagePerk,The Rock,La Roche,石,堅石,岩,Камень,Камінь,Der Fels,La roca,Rocha,바위
PerkDescription_HeroesBlockPhysDamagePerk,"Every {0} {1}: 
{2}
{3}.

<style=""WaltyIcon""></style> <style=""WaltyText"">Tales of Torment DLC</style>","Tous les {0} {1}<nbsp>: 
{2}
{3}.

<style=""WaltyIcon""></style> <style=""WaltyText"">Tales of Torment DLC</style>","每{0}{1}：
{2}
{3}。

<style=""WaltyIcon""></style><style=""WaltyText"">《痛苦的传说》DLC</style>","每{0}{1}：
{2}
{3}。

<style=""WaltyIcon""></style><style=""WaltyText"">〈苦痛傳說〉DLC</style>","{0} {1}ごとに: 
{2}
{3}。

<style=""WaltyIcon""></style> <style=""WaltyText"">DLC『苦悩の物語』</style>","Каждые {0} ед. {1}: 
{2}
{3}.

<style=""WaltyIcon""></style> <style=""WaltyText"">Дополнительный контент ""Tales of Torment""</style>","Кож. {0} од. {1}: 
{2}
{3}.

<style=""WaltyIcon""></style> <style=""WaltyText"">Tales of Torment DLC</style>","Pro {0} {1}: 
{2}
{3}.

<style=""WaltyIcon""></style> <style=""WaltyText"">Tales of Torment DLC</style>","Por cada {0} de {1}: 
{2}
{3}.

<style=""WaltyIcon""></style> <style=""WaltyText"">DLC Tales of Torment</style>","A cada {0} de {1}: 
{2}
{3}.

<style=""WaltyIcon""></style> <style=""WaltyText"">DLC Tales of Torment</style>","{0} {1}마다: 
{2}
{3}

<style=""WaltyIcon""></style> <style=""WaltyText"">고통의 이야기 DLC</style>"
PerkEffectInformations_HeroesBlockPhysDamagePerk,"{4}
{5}
Next step: {6}","{4}
{5}
Prochaine étape<nbsp>: {6}","{4}
{5}
下一阶段：{6}","{4}
{5}
下一級：{6}","{4}
{5}
次のステップ: {6}","{4}
{5}
След. шаг бонуса: {6}","{4}
{5}
Наступний крок: {6}","{4}
{5}
Nächster Schritt: {6}","{4}
{5}
Siguiente paso: {6}","{4}
{5}.
Próximo passo: {6}.","{4}
{5}
다음 단계: {6}"
PerkName_HeroesSkillRangeRangedDamagePerk,The Wind,Le Vent,风,勁風,風,Ветер,Вітер,Der Wind,El viento,Vento,바람
PerkDescription_HeroesSkillRangeRangedDamagePerk,"Every {0} {1}: 
{2}
{3}.

<style=""WaltyIcon""></style> <style=""WaltyText"">Tales of Torment DLC</style>","Tous les {0} {1}<nbsp>: 
{2}
{3}.

<style=""WaltyIcon""></style> <style=""WaltyText"">Tales of Torment DLC</style>","每{0}{1}：
{2}
{3}。

<style=""WaltyIcon""></style><style=""WaltyText"">《痛苦的传说》DLC</style>","每{0}{1}：
{2}
{3}。

<style=""WaltyIcon""></style><style=""WaltyText"">〈苦痛傳說〉DLC</style>","{0} {1}ごとに: 
{2}
{3}。

<style=""WaltyIcon""></style> <style=""WaltyText"">DLC『苦悩の物語』</style>","Каждые {0} ед. {1}: 
{2}
{3}.

<style=""WaltyIcon""></style> <style=""WaltyText"">Дополнительный контент ""Tales of Torment""</style>","Кож. {0} од. {1}: 
{2}
{3}.

<style=""WaltyIcon""></style> <style=""WaltyText"">Tales of Torment DLC</style>","Pro {0} {1}: 
{2}
{3}.

<style=""WaltyIcon""></style> <style=""WaltyText"">Tales of Torment DLC</style>","Por cada {0} de {1}: 
{2}
{3}.

<style=""WaltyIcon""></style> <style=""WaltyText"">DLC Tales of Torment</style>","A cada {0} de {1}: 
{2}
{3}.

<style=""WaltyIcon""></style> <style=""WaltyText"">DLC Tales of Torment</style>","{0} {1}마다: 
{2}
{3}

<style=""WaltyIcon""></style> <style=""WaltyText"">고통의 이야기 DLC</style>"
PerkEffectInformations_HeroesSkillRangeRangedDamagePerk,"{4}
{5}
Next step: {6}","{4}
{5}
Prochaine étape<nbsp>: {6}","{4}
{5}
下一阶段：{6}","{4}
{5}
下一級：{6}","{4}
{5}
次のステップ: {6}","{4}
{5}
След. шаг бонуса: {6}","{4}
{5}
Наступний крок: {6}","{4}
{5}
Nächster Schritt: {6}","{4}
{5}
Siguiente paso: {6}","{4}
{5}.
Próximo passo: {6}.","{4}
{5}
다음 단계: {6}"
PerkName_HeroesManaRegMagicDamagePerk,The Water,L'Eau,水,淨水,水,Вода,Вода,Das Wasser,El agua,Água,물
PerkDescription_HeroesManaRegMagicDamagePerk,"Every {0} {1}: 
{2}
{3}.

<style=""WaltyIcon""></style> <style=""WaltyText"">Tales of Torment DLC</style>","Tous les {0} {1}<nbsp>: 
{2}
{3}.

<style=""WaltyIcon""></style> <style=""WaltyText"">Tales of Torment DLC</style>","每{0}{1}：
{2}
{3}。

<style=""WaltyIcon""></style><style=""WaltyText"">《痛苦的传说》DLC</style>","每{0}{1}：
{2}
{3}。

<style=""WaltyIcon""></style><style=""WaltyText"">〈苦痛傳說〉DLC</style>","{0} {1}ごとに: 
{2}
{3}。

<style=""WaltyIcon""></style> <style=""WaltyText"">DLC『苦悩の物語』</style>","Каждые {0} ед. {1}: 
{2}
{3}.

<style=""WaltyIcon""></style> <style=""WaltyText"">Дополнительный контент ""Tales of Torment""</style>","Кож. {0} од. {1}: 
{2}
{3}.

<style=""WaltyIcon""></style> <style=""WaltyText"">Tales of Torment DLC</style>","Pro {0} {1}: 
{2}
{3}.

<style=""WaltyIcon""></style> <style=""WaltyText"">Tales of Torment DLC</style>","Por cada {0} de {1}: 
{2}
{3}.

<style=""WaltyIcon""></style> <style=""WaltyText"">DLC Tales of Torment</style>","A cada {0} de {1}: 
{2}
{3}.

<style=""WaltyIcon""></style> <style=""WaltyText"">DLC Tales of Torment</style>","{0} {1}마다: 
{2}
{3}

<style=""WaltyIcon""></style> <style=""WaltyText"">고통의 이야기 DLC</style>"
PerkEffectInformations_HeroesManaRegMagicDamagePerk,"{4}
{5}
Next step: {6}","{4}
{5}
Prochaine étape<nbsp>: {6}","{4}
{5}
下一阶段：{6}","{4}
{5}
下一級：{6}","{4}
{5}
次のステップ: {6}","{4}
{5}
След. шаг бонуса: {6}","{4}
{5}
Наступний крок: {6}","{4}
{5}
Nächster Schritt: {6}","{4}
{5}
Siguiente paso: {6}","{4}
{5}.
Próximo passo: {6}.","{4}
{5}
다음 단계: {6}"
PerkDescription_HuntersArsenal,"Every {0} after {1}:
All <style=KeyWord>non-<style=Poison>Poison</style></style> attacks using {2} and {3} get {4}.
<style=""ElfIcon""></style><style=""ElfText"">Elves of Amberwald DLC</style>","Tous les {0} après {1}<nbsp>:
Toutes les attaques <style=KeyWord>non-<style=Poison>Poison</style></style> utilisant {2} et {3} obtiennent {4}.
<style=""ElfIcon""></style><style=""ElfText"">Elves of Amberwald DLC</style>","达到{1}后每超出{0}：

所有使用{2}和{3}的<style=KeyWord>非<style=Poison>中毒</style></style>攻击获得{4}。

<style=""ElfIcon""></style><style=""ElfText"">《琥珀幽森的精灵》DLC</style>","{1}後，每有{0}：

所有使用{2}和{3}的<style=KeyWord>非<style=Poison>中毒</style></style>攻擊獲得{4}。

<style=""ElfIcon""></style><style=""ElfText"">〈琥珀幽森的精靈〉DLC</style>","{1}以降の{0}ごとに以下の効果を得る:

{2}と{3}を使う全ての<style=Poison>毒</style><style=KeyWord>でない</style>攻撃が{4}を得る。

<style=""ElfIcon""></style><style=""ElfText"">アンバーワルドのエルフDLC</style>","За каждые {0} свыше {1} ед.:

все <style=KeyWord>не <style=Poison>отравляющие</style></style> атаки, наносящие {2} и {3}, дают {4}.

<style=""ElfIcon""></style><style=""ElfText"">Дополнительный контент ""Elves of Amberwald""</style>","Кож. {0} після {1}:

усі <style=KeyWord>атаки без <style=Poison>отрути</style></style> з використанням {2} та {3} отримують {4}.

<style=""ElfIcon""></style><style=""ElfText"">Доповнення Elves of Amberwald</style>","Für je {0}, die den Wert {1} überschreiten, geschieht Folgendes:

Alle Angriffe <style=KeyWord>ohne <style=Poison>Gift</style></style>, die {2} und {3} verwenden, erhalten {4}.

<style=""ElfIcon""></style><style=""ElfText"">Elves of Amberwald DLC</style>","Cada {0} pasados los {1}:

Todos los ataques <style=KeyWord>que no sean de <style=Poison>veneno</style></style> que usen {2} y {3} obtienen {4}.

<style=""ElfIcon""></style><style=""ElfText"">DLC Elves of Amberwald</style>","Para cada {0} após {1}:

Todos os ataques <style=KeyWord>sem <style=Poison>Envenenamento</style></style> que usam {2} e {3} recebem {4}.

<style=""ElfIcon""></style><style=""ElfText"">DLC Elves of Amberwald</style>","{1} 이후 {0}마다:

{2}와(과) {3}을(를) 사용하는 <style=KeyWord><style=Poison>중독</style>이 아닌</style> 모든 공격이 {4} 획득

<style=""ElfIcon""></style><style=""ElfText"">암버발트의 엘프 DLC</style>"
PerkEffectInformations_HuntersArsenal,"Current bonus:
{5}","Bonus actuel<nbsp>:
{5}","当前加成：
{5}","目前加成：
{5}","現在のボーナス:
{5}","Текущий бонус:
{5}","Поточний бонус:
{5}","Aktueller Bonus:
{5}","Bonificación actual:
{5}","Bônus atual:
{5}","현재 보너스:
{5}"
PerkName_PanicMovePoint,Embrace Chaos,Étreindre le Chaos,拥抱混乱,擁抱混沌,混沌を抱く,Объять Хаос,Прийняти Хаос,Chaos Umarmen,Abrazar el Caos,Abraçar o Caos,혼돈 수용
PerkDescription_PanicMovePoint,"Every {0} of the <style=Panic>Panic Gauge</style> filled, get:
{1}
{5}
Over {7}: {8}

<style=""WaltyIcon""></style> <style=""WaltyText"">Tales of Torment DLC</style>","Tous les {0} de la <style=Panic>jauge de panique</style> remplis, obtenez :
{1}
{5}
Au-dessus de {7} : {8}

<style=""WaltyIcon""></style> <style=""WaltyText"">Tales of Torment DLC</style>>","每填满{0}的<style=Panic>恐慌计量条</style>，获得：
{1}
{5}
超过{7}时：{8}

<style=""WaltyIcon""></style><style=""WaltyText"">《痛苦的传说》DLC</style>","<style=Panic>恐慌值</style>每累積{0}，獲得：
{1}
{5}
超過{7}時：{8}

<style=""WaltyIcon""></style><style=""WaltyText"">〈苦痛傳說〉DLC</style>","<style=Panic>パニックゲージ</style>が{0}溜まるごとに以下を獲得:
{1}
{5}
{7}以上で: {8}

<style=""WaltyIcon""></style> <style=""WaltyText"">DLC『苦悩の物語』</style>","За каждые {0} <style=Panic>паники</style> герой получает:
{1}
{5}
Свыше {7}: {8}

<style=""WaltyIcon""></style> <style=""WaltyText"">Дополнительный контент ""Tales of Torment""</style>","За кож. {0} од. <style=Panic>шкали паніки</style> надається:
{1}
{5}
Понад {7}: {8}

<style=""WaltyIcon""></style> <style=""WaltyText"">Tales of Torment DLC</style>","Pro {0}, die sich die <style=Panic>Panikleiste</style> füllt, erhältst du:
{1}
{5}
Über {7}: {8}

<style=""WaltyIcon""></style> <style=""WaltyText"">Tales of Torment DLC</style>","Por cada {0} del <style=Panic>medidor de pánico</style> que llenes, obtienes:
{1}
{5}
Más de {7}: {8}

<style=""WaltyIcon""></style> <style=""WaltyText"">DLC Tales of Torment</style>","A cada {0} do <style=Panic>Medidor de Pânico</style> preenchido, receba:
{1}.
{5}
Acima de {7}: {8}

<style=""WaltyIcon""></style> <style=""WaltyText"">DLC Tales of Torment</style>","채워진 <style=Panic>공포 게이지</style> {0}당 획득:
{1}
{5}
{7} 초과 시: {8}

<style=""WaltyIcon""></style> <style=""WaltyText"">고통의 이야기 DLC</style>"
PerkEffectInformations_PanicMovePoint,"Current Panic: {2}
Current Bonus: {3}
{6}
{9}","Panique actuelle<nbsp>: {2}
Bonus actuel<nbsp>: {3}
{6}
{9}","当前恐慌度：{2}
当前加成：{3}
{6}
{9}","目前恐慌值{2}
目前加成：{3}
{6}
{9}","現在のパニック: {2}
現在のボーナス: {3}
{6}
{9}","Текущий уровень паники: {2};
текущий бонус: {3}
{6}
{9}","Поточна паніка: {2}
Поточний бонус: {3}
{6}
{9}","Aktuelle Panik: {2}
Aktueller Bonus: {3}
{6}
{9}","Pánico actual: {2}
Bonificación actual: {3}
{6}
{9}","Pânico Atual: {2}
Bônus Atual: {3}
{6}
{9}","현재 공포: {2}
현재 보너스: {3}
{6}
{9}"
ResearchDescription_HavenGlintfeinResearch,"The effects of <style=keyword>Temple</style> and <style=keyword>Mana Well</style> are <style=good>doubled</style>, and actions no longer cost <style=Workers>Workers</style>.
Grant {0} to <style=keyword>Temple</style> and {1} to <style=keyword>Mana Well</style>. They are only usable once per <style=night>night</style>.","Les effets du <style=keyword>Temple</style> et du <style=keyword>Puit de Mana</style> sont <style=good>doublés</style>, et les actions ne coûtent plus de <style=Workers>Ouvriers</style>.
Confère {0} au <style=keyword>Temple</style> et {1} au <style=keyword>Puit de Mana</style>.Ils sont seulement utilisable une fois par <style=night>nuit</style>.","<style=keyword>神庙</style>和<style=keyword>魔泉</style>的效果<style=good>翻倍</style>，且操作不再消耗<style=Workers>工人</style>。
<style=keyword>神庙</style>获得{0}，<style=keyword>魔泉</style>获得{1}。它们每个<style=night>夜晚</style>仅能使用一次。","<style=keyword>神廟</style>和<style=keyword>魔泉</style>的效果<style=good>翻倍</style>，且操作不再消耗<style=Workers>工人</style>。
<style=keyword>神廟</style>獲得{0}，<style=keyword>魔泉</style>獲得{1}。以上兩種建築物每個<style=night>黑夜</style>只能使用一次。","<style=keyword>聖堂</style>と<style=keyword>マナの泉</style>の効果が<style=good>2倍</style>になり、アクションに<style=Workers>労働者</style>を消費しなくなる。
<style=keyword>聖堂</style>が{0}を得て、<style=keyword>マナの泉</style>が{1}を得る。1<style=night>夜</style>に1度のみ使用可能。","Эффект от <style=keyword>Святилища</style> и <style=keyword>Источника маны</style> <style=good>удваивается</style>, а действия больше не стоят <style=Workers>рабочих</style>.
<style=keyword>Святилище</style> получает ""{0}"", а <style=keyword>Источник маны</style> — ""{1}"". Их можно применить только раз за <style=night>ночь</style>.","Ефекти <style=keyword>храму</style> й <style=keyword>колодязя мани</style> <style=good>подвоюються</style>, а дії більше не потребують <style=Workers>робітників</style>.
Дає «{0}» <style=keyword>храму</style> й «{1}» <style=keyword>колодязю мани</style>. Можна використати лише раз за <style=night>ніч</style>.","Die Effekte von <style=keyword>Tempel</style> und <style=keyword>Manabrunnen</style> werden <style=good>verdoppelt</style>, und Aktionen kosten keine <style=Workers>Arbeiter</style> mehr.
Gewährt dem <style=keyword>Tempel</style> {0} und dem <style=keyword>Manabrunnen</style> {1}. Nur einmal pro <style=night>Nacht</style> nutzbar.","Los efectos del <style=keyword>templo</style> y el <style=keyword>pozo de maná</style> se <style=good>duplican</style>, y las acciones ya no cuestan <style=Workers>trabajadores</style>.
Otorga {0} al <style=keyword>templo</style> y {1} al <style=keyword>pozo de maná</style>. Solo pueden utilizarse una vez por <style=night>noche</style>.","<style=good>Dobra</style> os efeitos do <style=keyword>Templo</style> e do <style=keyword>Poço de Mana</style>, e as ações não custam mais <style=Workers>Trabalhadores</style>.
Concede {0} ao <style=keyword>Templo</style> e {1} ao <style=keyword>Poço de Mana</style>. Só é possível utilizá-los uma vez por <style=night>noite</style>.","<style=keyword>사원</style>과 <style=keyword>마나 우물</style>의 효과가 <style=good>2배</style>가 되며, 행동에 <style=Workers>일꾼</style>이 더 이상 소모되지 않습니다.
<style=keyword>사원</style>에 {0}, <style=keyword>마나 우물</style>에 {1}을(를) 부여합니다. <style=night>밤</style>마다 한 번씩만 사용할 수 있습니다."
ResearchDescription_VeteranGlenwaldResearch,<style=keyword>All structures</style> are <style=keyword>repaired for free</style> every <style=Production>morning</style>.,Toutes les <style=keyword>structures</style> sont <style=keyword>réparées gratuitement</style> chaque <style=Production>matin</style>.,每到<style=Production>早上</style>，<style=keyword>所有建筑物</style>会<style=keyword>免费修复</style>。,每個<style=Production>白天</style>，<style=keyword>免費修復</style><style=keyword>所有建築物</style>。,<style=Production>毎朝</style>、<style=keyword>全ての建造物</style>が<style=keyword>無料で修理</style>される。,С наступлением <style=Production>утра</style> все <style=keyword>строения</style> <style=keyword>ремонтируются бесплатно</style>.,<style=keyword>Усі споруди</style> <style=keyword>лагодяться задарма</style> <style=Production>щоранку</style>.,<style=keyword>Alle Gebäude</style> werden jeden <style=Production>Morgen</style> <style=keyword>umsonst repariert</style>.,Todas las <style=keyword>estructuras</style> se <style=keyword>reparan gratis</style> cada <style=Production>mañana</style>.,Todas as <style=keyword>estruturas</style> são <style=keyword>reparadas gratuitamente</style> a cada <style=Production>manhã</style>.,매일 <style=Production>아침</style> <style=keyword>모든 건물</style>이 <style=keyword>무료로 수리</style>됩니다.
ResearchDescription_VeteranGlintfeinResearch,Decrease the cost of non-wall defenses by {1}. Increase <style=keyword>Defense</style> building <style=keyword>cap</style> by {0}.,Réduit le coût des défenses non murales de {1}. Augmente la <style=keyword>limite</style> des bâtiments de <style=keyword>Défense</style> de {0}.,非城墙防御设施的成本降低{1}。<style=keyword>防御设施</style>建筑的<style=keyword>数量上限</style>提高{0}。,非城牆防禦設施的成本降低{1}。<style=keyword>防禦設施</style><style=keyword>上限</style>提升{0}。,壁以外の防衛施設のコストを{1}減少させる。<style=keyword>防衛</style>施設の<style=keyword>上限</style>が{0}増加。,Уменьшает стоимость защитных сооружений (кроме стен) на {1}. <style=keyword>Максимум</style> <style=keyword>укреплений</style> увеличивается на {0}.,Зменшує вартість немурових оборонних споруд на {1}. Збільшує <style=keyword>ліміт</style> накопичення <style=keyword>захисту</style> на {0}.,Verringert die Kosten nicht-mauerartiger Verteidigungsanlagen um {1}. Erhöht das <style=keyword>Limit</style> von <style=keyword>Verteidigungsanlagen</style> um {0}.,Reduce el coste de las defensas que no sean murallas en {1}. Aumenta el <style=keyword>límite</style> de <style=keyword>defensas</style> del edificio en {0}.,Diminui o custo das defesas que não são muralhas em {1}. Aumenta o <style=keyword>limite</style> de construções de <style=keyword>Defesa</style> em {0}.,벽이 아닌 방어 시설의 비용이 {1}만큼 감소합니다. <style=keyword>방어 시설</style> 건물의 <style=keyword>한도</style>가 {0}만큼 증가합니다.
ResearchDescription_CheaperProductionResearch,"Reduce the <style=keyword>cost</style> of production buildings and their <style=keyword>upgrades</style> by {0}.
Increase production building <style=keyword>limit</style> by {1}.","Réduit le <style=keyword>coût</style> des bâtiments de production et de leurs <style=keyword>améliorations</style> de {0}.
Augmente la <style=keyword>limite</style> de bâtiment de production de {1}.","生产类建筑及其<style=keyword>升级</style>的<style=keyword>成本</style>减少{0}。
生产类建筑的<style=keyword>数量上限</style>增加{1}。","生產型建築及其<style=keyword>升級</style>的<style=keyword>消耗</style>降低{0}。
生產型建築<style=keyword>上限</style>提升{1}。","製造施設とその<style=keyword>強化</style>の<style=keyword>コスト</style>を{0}減少させる。
製造施設の<style=keyword>上限</style>が{1}増加する。","Снижает <style=keyword>стоимость</style> производственных зданий и их <style=keyword>улучшений</style> на {0}.
Увеличивает <style=keyword>максимум</style> производственных зданий на {1}.","Знижує <style=keyword>вартість</style> виробничих споруд та їхніх <style=keyword>поліпшень</style> на {0}.
Збільшує <style=keyword>ліміт</style> виробничих споруд на {1}.","Reduziert die <style=keyword>Kosten</style> von Produktionsgebäuden und ihren <style=keyword>Verbesserungen</style> um {0}.
Erhöht das Produktionsgebäude-<style=keyword>Limit</style> um {1}.","Reduce el <style=keyword>coste</style> de los edificios de producción y sus <style=keyword>mejoras</style> en {0}.
Aumenta el <style=keyword>límite</style> de los edificios de producción en {1}.","Reduz o <style=keyword>custo</style> de construções que produzem itens e suas <style=keyword>melhorias</style> em {0}.
Aumenta o <style=keyword>limite</style> de construções que produzem itens em {1}.","생산 건물과 <style=keyword>강화</style>의 <style=keyword>비용</style>이 {0}만큼 감소합니다.
생산 건물의 <style=keyword>상한</style>이 {1}만큼 증가합니다."
PerkDescription_VolatileReaction,"<style=KeyWord>Propagation</style> can now bounce <style=KeyWord>diagonally</style>.
{0}.
Increases <style=KeyWord>Maximum</style>
{1} by {2}.","La <style=KeyWord>Propagation</style> peut maintenant rebondir en <style=KeyWord>diagonale</style>.
{0}.
Augmente le <style=KeyWord>Maximum</style> de
{1} de {2}.","<style=KeyWord>蔓延</style>可以<style=KeyWord>斜向</style>传递。
{0}。
提升<style=KeyWord>上限</style>
{1}{2}。","<style=KeyWord>蔓延</style>可以<style=KeyWord>斜向</style>傳遞。
{0}。
提升<style=KeyWord>上限</style>
{1}{2}。","<style=KeyWord>伝染</style>が<style=KeyWord>斜め方向</style>へ伝わるようになる。
{0}。
<style=KeyWord>最大</style>
{1}が{2}増加する。","Атаки героя с эффектом <style=KeyWord>""Цепной удар""</style> могут перескакивать <style=KeyWord>по диагонали</style>.
{0}.
Повышает <style=KeyWord>макс.</style>
{1} на {2}.","<style=KeyWord>Відскок</style> тепер працює <style=KeyWord>по діагоналі</style>.
{0}.
Збільшує <style=KeyWord>макс.</style>
{1} на {2}.","<style=KeyWord>Ausbreitung</style> kann jetzt <style=KeyWord>diagonal</style> passieren.
{0}.
Erhöht den <style=KeyWord>Maximalwert</style> von
{1} um {2}.","Permite que la <style=KeyWord>propagación</style> salte en <style=KeyWord>diagonal</style>.
{0}.
Aumenta el <style=KeyWord>máximo</style> de
{1} en {2}.","Agora, <style=KeyWord>Propagação</style> pode ricochetear na <style=KeyWord>diagonal</style>.
{0}.
Aumenta o <style=KeyWord>Máximo</style> de
{1} em {2}.","<style=KeyWord>전파</style> 효과를 <style=KeyWord>대각선</style>으로도 연쇄 가능
{0}
<style=KeyWord>최대</style>
{1}을(를) {2}만큼 증가시킵니다."
